policy,seed,steps,households,gini_assets,gini_income,poverty_rate,means_tested_poverty_rate,unemployment_rate,labor_participation,avg_wage,treasury,avg_deficit_last20,tax_revenue,ubi_spending,targeted_spending,false_positive_spending,false_negative_amount
UBI only,24,80,242.0,0.5053422983926521,0.4371980133108122,0.3347107438016529,0.3181818181818182,0.2288135593220339,0.8676470588235294,1774.710122912253,9847423.067675097,-127459.16326341985,177129.16326341985,43670.0,0.0,0.0,0.0
UBI only,25,80,238.0,0.5845727737149429,0.4751798310288524,0.4411764705882353,0.4789915966386555,0.2870662460567823,0.8342105263157895,1450.4057974042207,5906942.521855294,-71129.73001370709,117424.73001370711,42795.0,0.0,0.0,0.0
UBI only,26,80,242.0,0.5442263157179072,0.4678441332509655,0.38016528925619836,0.384297520661157,0.2910662824207493,0.8675,1658.677163554969,7929746.098860429,-115051.74869530422,162319.5947024823,43295.0,0.0,0.0,0.0
UBI only,27,80,237.0,0.5216021629365466,0.4778190544986505,0.3206751054852321,0.28270042194092826,0.22408963585434175,0.8992443324937027,1981.4275463625265,9824409.520916339,-123633.40160899812,175137.8751370225,43590.0,0.0,0.0,0.0
UBI only,28,80,242.0,0.5886157601701019,0.48243366292565737,0.32644628099173556,0.3181818181818182,0.08306709265175719,0.839142091152815,2076.993423476123,8034588.296222949,-112703.39221383794,159405.61012590042,43355.0,0.0,0.0,0.0
UBI only,29,80,240.0,0.6016156002926996,0.4501139722156904,0.38333333333333336,0.42916666666666664,0.1977401129943503,0.8428571428571429,1582.4157828285831,6651878.947857624,-86876.02278707168,136856.0227870717,44980.0,0.0,0.0,0.0
UBI only,30,80,242.0,0.5772797854604592,0.4677648195994424,0.34297520661157027,0.3347107438016529,0.1566265060240964,0.8713910761154856,2097.60570864449,8484569.570963234,-109251.00499487948,158216.00499487945,44465.0,0.0,0.0,0.0
UBI only,31,80,242.0,0.5430112056555527,0.4656073683852062,0.35537190082644626,0.359504132231405,0.28532608695652173,0.8558139534883721,1840.0205207298281,8929295.84427321,-116852.58838458252,166867.5883845825,45515.0,0.0,0.0,0.0
UBI only,32,80,242.0,0.5365865308922506,0.4959097367062393,0.4132231404958678,0.384297520661157,0.3629032258064516,0.8836104513064132,1689.6423273875687,9305287.197209565,-120928.32477862763,169618.32477862763,45190.0,0.0,0.0,0.0
UBI only,33,80,240.0,0.5508199916969767,0.45746839076993906,0.3375,0.325,0.19230769230769232,0.8813559322033898,1718.6674905820719,7567548.673261386,-95756.27249282024,142186.27249282022,42930.0,0.0,0.0,0.0
