income_tax_rate,corporate_tax_rate,ubi_amount,tier_scale,final_treasury,avg_deficit_last20,gini_assets,means_tested_poverty_rate,unemployment_rate,tax_revenue,ubi_spending,targeted_spending,score
0.28,0.2,60.0,0.35,527847.9704962977,17712.76414649563,0.8839926430137943,0.87946295785363,0.6270573745124848,102918.13585350437,45026.0,75604.90000000001,0.2653884151511188
0.16,0.2,40.0,0.35,-285953.23975973,26509.766868810257,0.831921179302625,0.8513818822672315,0.6281991894033301,79138.49979785639,30364.666666666668,75283.59999999999,0.27072074869418206
0.28,0.2,40.0,0.45,242026.07990520753,23452.424844961788,0.884583627249793,0.853851548115498,0.5996352155113783,103388.57515503821,29884.0,96957.0,0.2751081080755084
0.2,0.28,80.0,0.35,-289824.8770523243,33617.27862735966,0.8208723074440788,0.8522274890807612,0.6267052805626739,104379.65470597368,61425.333333333336,76571.59999999999,0.2810654860480525
0.28,0.28,60.0,0.25,3168239.2222015257,-21590.90434362598,0.8937919796724355,0.8453936937093678,0.5690483142150277,118662.40434362598,44013.0,53058.5,0.28468686147700506
0.24,0.24,40.0,0.25,2669163.8813827555,-20305.72519132587,0.8902762190328101,0.8727446190132757,0.6140059507978944,103882.89185799255,29900.666666666668,53676.5,0.315582804032807
0.28,0.24,40.0,0.25,3299866.0366667993,-28373.590820130048,0.8969433446162635,0.839807939239953,0.5692710644377778,111232.92415346338,29565.333333333332,53294.0,0.3413422173032161
0.28,0.24,60.0,0.45,-159713.06195348984,31820.59864242833,0.8612667358332947,0.8482170995614151,0.6104680773984571,114176.40135757167,46214.0,99783.0,0.3673326623965081
0.28,0.2,100.0,0.25,-82652.01509507182,29960.88257129767,0.8752712945351883,0.8634683170837554,0.6277606849711607,100306.11742870235,75610.0,54657.0,0.3862042420828253
0.24,0.28,40.0,0.25,3325921.0583385634,-29674.24610997125,0.8902762190328101,0.8727446190132757,0.6140059507978944,113251.41277663792,29900.666666666668,53676.5,0.40926801321926076
0.16,0.28,40.0,0.45,-428268.458657745,37196.13762818241,0.8148405843411045,0.8496377116808348,0.6371038485497668,92987.62903848424,30878.666666666668,99305.09999999999,0.41392776424400224
0.2,0.2,80.0,0.25,-274916.6747852411,31421.508789571555,0.8455573098875758,0.8637558788920906,0.6262210904233113,85597.32454376177,61793.333333333336,55225.5,0.4153663796867293
0.28,0.28,40.0,0.25,3960848.267065199,-37641.848660756084,0.8969433446162635,0.839807939239953,0.5692710644377778,120501.18199408943,29565.333333333332,53294.0,0.4340247957094765
0.24,0.24,80.0,0.35,-298271.99435632024,35097.562613824186,0.8456401486394037,0.874603329786269,0.6608803280925257,103678.80405284249,61362.666666666664,77413.7,0.5139946639384474
0.24,0.28,100.0,0.35,-463661.2256337155,37105.79905969677,0.8273523613658442,0.8478969731492206,0.6191420597514815,116162.03427363657,76628.33333333333,76639.5,0.5200063306203263
0.2,0.24,100.0,0.25,-539726.3738941433,35267.083621534235,0.8231559873114557,0.8355549229808569,0.6106967401486495,95784.58304513244,76451.66666666667,54600.0,0.5278219798360698
0.2,0.24,40.0,0.45,-419425.35507655423,35133.636800663764,0.8384886024232726,0.8507420682625243,0.6429356974574387,96611.1298660029,31098.666666666668,100646.09999999999,0.5285564740440125
0.24,0.28,40.0,0.55,-411196.7930706907,40635.49644668849,0.8293963058412702,0.8568793028453151,0.6543472000486891,114379.90355331152,31228.0,123787.40000000001,0.5395879982449971
0.2,0.28,60.0,0.45,-644344.2609088958,35978.6251516476,0.8173874854839923,0.8562261497099076,0.6477539299074693,109161.0748483524,46452.0,98687.7,0.6462867246452773
0.28,0.24,40.0,0.55,-400967.8718462785,35469.77380440117,0.8633019444150487,0.8448811497968939,0.5993792777554406,114465.92619559883,30270.0,119665.7,0.6506185758705066
0.28,0.28,80.0,0.45,-444541.8889436551,39190.49012165685,0.8494730947986987,0.8475232207501987,0.6171560132035844,120901.20987834316,61044.0,99047.7,0.6537108003489497
0.24,0.2,100.0,0.25,-524712.9058149621,34511.57474413605,0.8460564273253096,0.85021455234161,0.6191420597514815,97003.25858919728,76628.33333333333,54886.5,0.6719753217875368
0.16,0.24,60.0,0.35,-700290.6611696555,38914.30375591335,0.8213570247085937,0.856599042918542,0.6643211937488753,83300.59624408664,45777.0,76437.90000000001,0.777634723336885
0.28,0.2,80.0,0.35,-488423.57607977145,36760.10549216337,0.8680544302978767,0.8468252844940514,0.6089081689856172,101796.12784116995,61117.333333333336,77438.90000000001,0.7833807816729043
0.28,0.24,100.0,0.35,-577994.590791814,39534.685253259384,0.8473668380794678,0.8540212798825367,0.6236901041126752,109385.4814134073,74331.66666666667,74588.5,0.7909640314624244
0.24,0.24,60.0,0.45,-589431.951837155,42916.00727306228,0.841813900839366,0.8638007030670535,0.6455997323353438,102967.09272693773,46218.0,99665.09999999999,0.8224558356342173
0.24,0.2,40.0,0.45,-586072.178926858,37972.200700510126,0.8531187879225728,0.8659026448995101,0.6545019657654144,92785.6326328232,30745.333333333332,100012.5,0.848444151810674
0.2,0.2,60.0,0.35,-684625.6813532844,38828.884229382595,0.8419927860371645,0.863475621063685,0.6608668530598272,87115.4157706174,47006.0,78938.3,0.8935017614833447
